rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"Hero headline is a slogan, not a value proposition, failing to communicate product benefits.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't mention shoes or key benefits, failing to answer visitor intent.","h1: Comfortable, Sustainable Shoes for Every Day; cta: Shop Best Sellers; notes: Plain-language headline that states the product and key benefits. CTA directs to a specific, popular collection to reduce choice overload.","H1: 'Wildly Comfortable. Super Natural.'; CTAs: 'Shop All', 'Shop Womens', 'Shop Mens'",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_1_vague_hero_copy.html
2,Multiple competing CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Hero has multiple CTAs without hierarchy, causing decision paralysis.","The homepage presents multiple primary CTAs without a clear hierarchy, diluting the primary conversion path and causing decision paralysis.","h1: Wildly Comfortable. Super Natural.; cta: Primary: Shop Bestsellers (or Shop All) with secondary links to Men/Women; notes: Consolidate to one primary CTA that guides the majority of users to the most popular products, with secondary CTAs for specific segments.","CTAs list includes 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale' all on the same page, with no visual hierarchy indicated.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_multiple_competing_ctas.html
3,Shipping delay warning,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,Prominent shipping delay warning creates hesitation and may drive users away.,The prominent 'orders may take up to 30 days to ship' warning creates immediate hesitation and may drive users away before they see the value proposition.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Soften the message: 'Free shipping on orders over $100. Note: some orders may take up to 30 days due to high demand.' Add a link to a 'Shipping FAQ' or a reassurance like 'We'll keep you updated.',"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_shipping_delay_warning.html
4,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Free shipping threshold only in announcement bar, not hero, creating expectation gap.","The hero promotes free shipping but the $100 threshold is only in the announcement bar, creating an expectation gap.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: Shop All; notes: Include threshold in hero to set expectations early.,Hero copy: 'Wildly Comfortable. Super Natural.' and announcement bar: 'Free ground shipping on orders over $100',Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"Mega-menu with 20+ items overwhelms users, increasing cognitive load.","The mega-menu presents 20+ items across multiple categories, overwhelming users and increasing cognitive load, leading to choice paralysis.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Simplify mega-menu to top 5-7 key categories, use clear hierarchy, and reduce number of links per panel to avoid overwhelming users.","Nav items list includes 20+ entries such as 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Missing size selector,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page lacks a size selector and add-to-cart button, blocking purchase.","The product page for 'Anytime Ankle Sock' lacks a visible size selector or add-to-cart button, preventing users from completing a purchase.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Ensure a size selector (e.g., S/M/L) and a prominent 'Add to Cart' button are present on the product page to enable purchase.",The product page inventory shows no forms with size inputs or add-to-cart CTAs; the only form is the email sign-up. | The body sample is truncated but does not show size options or an 'Add to Cart' button.,Form / Friction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_missing_size_selector.html
7,No responsive viewport,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile users see a scaled-down desktop layout, hurting usability.","The absence of a viewport meta tag causes mobile browsers to render the desktop layout scaled down, making tap targets too small and harming mobile conversion.",notes: Add a viewport meta tag to ensure proper scaling on mobile devices.,Measured on the live homepage: no viewport meta tag found.,Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_no_responsive_viewport.html
8,Unclear pricing and hidden costs,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Product pages show only base price without shipping info, causing surprise at checkout.","Product pages display only the base price without clear shipping costs, leading to cart abandonment when users encounter unexpected fees.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display 'Free shipping on orders over $100' or a shipping cost estimate near the price, and consider showing a total cost estimate including tax and shipping before checkout.","On the product page for 'Anytime Ankle Sock', prices list includes '$16' multiple times, but no mention of shipping costs or thresholds. | The header shows 'Free ground shipping on orders over $100' but this is not repeated on the product page.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_unclear_pricing_hidden_costs.html
9,Missing product-specific CTA,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page's primary CTA is 'Learn More', not 'Add to Cart', confusing purchase intent.","The product page for 'Anytime Ankle Sock' lacks a clear 'Add to Cart' or 'Buy Now' CTA, leaving visitors unsure how to purchase.","h1: Anytime Ankle Sock; cta: Add to Cart - $16; notes: Replace 'Learn More' with a clear, action-oriented CTA that includes the price to reduce friction and guide visitors to purchase.","H1: 'Anytime Ankle Sock'; CTAs: 'Learn More', 'Sign Up', 'Shop + -' (no add-to-cart button observed)",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_missing_product_specific_cta.html
10,Missing review count,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"Product page lacks visible review count or rating, missing social proof.","The product page shows a reviews section but no visible review count or rating summary, failing to leverage social proof at the point of purchase.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a star rating and review count near the price, e.g., '4.5/5 (2,300 reviews)' to provide immediate social proof.",H2 includes 'Reviews for Anytime Ankle Sock' but no review count or star rating is visible in the body sample.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_missing_review_count.html
